chart_appearances,track_id,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5,6SrL2VXEOH3n30REuedQsJ,Don't Call Me, Nevada,0.61,0.659,9,-6.958,1,0.0308,0.029,0.0,0.108,0.453,94.969,audio_features,6SrL2VXEOH3n30REuedQsJ,spotify:track:6SrL2VXEOH3n30REuedQsJ,https://api.spotify.com/v1/tracks/6SrL2VXEOH3n30REuedQsJ,https://api.spotify.com/v1/audio-analysis/6SrL2VXEOH3n30REuedQsJ,213671,4
19,1MUL6DO2gVimj2YrVedubd,Creep On Me, GASHI,0.449,0.597,9,-4.401,0,0.14,0.347,1.03e-05,0.197,0.505,134.598,audio_features,1MUL6DO2gVimj2YrVedubd,spotify:track:1MUL6DO2gVimj2YrVedubd,https://api.spotify.com/v1/tracks/1MUL6DO2gVimj2YrVedubd,https://api.spotify.com/v1/audio-analysis/1MUL6DO2gVimj2YrVedubd,194777,5
9,0CBFOvHlyqy30Q5tbyNHfQ,Want To, Dua Lipa,0.572,0.691,8,-4.783,0,0.123,0.0788,0.000132,0.0593,0.318,92.082,audio_features,0CBFOvHlyqy30Q5tbyNHfQ,spotify:track:0CBFOvHlyqy30Q5tbyNHfQ,https://api.spotify.com/v1/tracks/0CBFOvHlyqy30Q5tbyNHfQ,https://api.spotify.com/v1/audio-analysis/0CBFOvHlyqy30Q5tbyNHfQ,212040,4
5,7uuEfUMuPeQ7RlSWa0cES2,Can’t Help Falling in Love, Kina Grannis,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,audio_features,7uuEfUMuPeQ7RlSWa0cES2,spotify:track:7uuEfUMuPeQ7RlSWa0cES2,https://api.spotify.com/v1/tracks/7uuEfUMuPeQ7RlSWa0cES2,https://api.spotify.com/v1/audio-analysis/7uuEfUMuPeQ7RlSWa0cES2,201933,3
3,3QybPutx0Tjk472bBKjNWn,Mo Bamba, Sheck Wes,0.738,0.629,6,-4.882,0,0.0495,0.268,0.00114,0.163,0.319,146.067,audio_features,3QybPutx0Tjk472bBKjNWn,spotify:track:3QybPutx0Tjk472bBKjNWn,https://api.spotify.com/v1/tracks/3QybPutx0Tjk472bBKjNWn,https://api.spotify.com/v1/audio-analysis/3QybPutx0Tjk472bBKjNWn,180898,4
4,2XSzHLq8gOJHFflQr6QCpM,Yellow, Katherine Ho,0.296,0.356,8,-10.904,1,0.0327,0.197,2.16e-06,0.0987,0.218,186.311,audio_features,2XSzHLq8gOJHFflQr6QCpM,spotify:track:2XSzHLq8gOJHFflQr6QCpM,https://api.spotify.com/v1/tracks/2XSzHLq8gOJHFflQr6QCpM,https://api.spotify.com/v1/audio-analysis/2XSzHLq8gOJHFflQr6QCpM,248753,4
14,5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith), Calvin Harris,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,audio_features,5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,213309,4
5,5PFMXQTr4IKk1lffk9ulai,Real Friends (Acoustic), The Cameron Collective,0.744,0.209,0,-15.461,0,0.208,0.76,0.0,0.381,0.744,91.831,audio_features,5PFMXQTr4IKk1lffk9ulai,spotify:track:5PFMXQTr4IKk1lffk9ulai,https://api.spotify.com/v1/tracks/5PFMXQTr4IKk1lffk9ulai,https://api.spotify.com/v1/audio-analysis/5PFMXQTr4IKk1lffk9ulai,200861,4
18,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid), benny blanco,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,audio_features,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173800,4
62,3NxuezMdSLgt4OwHzBoUhL,Way Back Home, SHAUN,0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,audio_features,3NxuezMdSLgt4OwHzBoUhL,spotify:track:3NxuezMdSLgt4OwHzBoUhL,https://api.spotify.com/v1/tracks/3NxuezMdSLgt4OwHzBoUhL,https://api.spotify.com/v1/audio-analysis/3NxuezMdSLgt4OwHzBoUhL,214137,4
